"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 03 12:08:33 UTC 2026","Wed Jun 03 12:08:35 UTC 2026","1664","tests.auth","test_login","TestLogin","","","Login with incorrect credentials (parametrized)",""
"passed","Wed Jun 03 12:08:45 UTC 2026","Wed Jun 03 12:08:48 UTC 2026","3241","tests.auth","test_registration","TestRegistration","","","Registration (negative)",""
"passed","Wed Jun 03 12:09:04 UTC 2026","Wed Jun 03 12:09:08 UTC 2026","3738","tests.main","test_sidebar","TestSidebar","","","Navigate to Friends page via Sidebar",""
"passed","Wed Jun 03 12:08:37 UTC 2026","Wed Jun 03 12:08:41 UTC 2026","3542","tests.auth","test_registration","TestRegistration","","","Registration",""
"passed","Wed Jun 03 12:09:09 UTC 2026","Wed Jun 03 12:09:12 UTC 2026","3880","tests.main","test_wall","TestWall","","","Create a new text post in News Feed",""
"passed","Wed Jun 03 12:08:53 UTC 2026","Wed Jun 03 12:08:56 UTC 2026","3267","tests.auth","test_registration","TestRegistration","","","Registration (negative)",""
"passed","Wed Jun 03 12:08:35 UTC 2026","Wed Jun 03 12:08:37 UTC 2026","1661","tests.auth","test_login","TestLogin","","","Login with incorrect credentials (parametrized)",""
"broken","Wed Jun 03 12:09:03 UTC 2026","Wed Jun 03 12:09:03 UTC 2026","0","tests.main","test_message","TestMessage","","","Send a message from Admin and verify receipt by Friend",""
"passed","Wed Jun 03 12:08:28 UTC 2026","Wed Jun 03 12:08:33 UTC 2026","4876","tests.auth","test_login","TestLogin","","","Login as an existing user ('friend') via UI",""
"passed","Wed Jun 03 12:08:41 UTC 2026","Wed Jun 03 12:08:45 UTC 2026","3319","tests.auth","test_registration","TestRegistration","","","Registration (negative)",""
"passed","Wed Jun 03 12:08:49 UTC 2026","Wed Jun 03 12:08:52 UTC 2026","3176","tests.auth","test_registration","TestRegistration","","","Registration (negative)",""
